MC-cycles <epsilon> <|m|>
268 0.0645522 0.975
269 0.0650929 0.98
270 0.0656667 0.985
271 0.0661993 0.98
272 0.0667279 0.98
273 0.0672527 0.985
274 0.0677372 0.98
275 0.0682545 0.975
276 0.0687681 0.97
277 0.069278 0.97
278 0.0697482 0.975
279 0.0702151 0.97
280 0.0706786 0.975
281 0.0710676 0.97
282 0.0714539 0.97
283 0.0718375 0.975
284 0.0721831 0.97
285 0.0725263 0.975
286 0.0729021 0.98
287 0.0732404 0.985
288 0.0735417 0.98
289 0.0738754 0.985
290 0.0742069 0.98
291 0.0745361 0.985
292 0.074863 0.985
293 0.0751877 0.99
294 0.0755102 0.995
295 0.0757966 0.99
296 0.0760811 0.995
297 0.0763973 1
298 0.0767785 0.995
299 0.0771572 0.99
300 0.0775333 0.995
301 0.077907 0.995
302 0.078245 0.99
303 0.0785149 0.985
304 0.0788158 0.99
305 0.0791148 0.99
306 0.0793791 0.995
307 0.0796417 0.99
308 0.0799026 0.99
309 0.0801618 0.995
310 0.0804516 0.99
311 0.0807395 0.985
312 0.0810256 0.985
313 0.0813099 0.99
314 0.0815924 0.985
315 0.081873 0.985
316 0.0821519 0.985
317 0.082429 0.99
318 0.0827044 0.985
319 0.0829467 0.99
320 0.0831875 0.985
321 0.0834268 0.98
322 0.0836646 0.975
323 0.08387 0.97
324 0.0840741 0.97
325 0.0842769 0.975
326 0.0844172 0.98
327 0.0845566 0.985
328 0.0846951 0.99
329 0.0848328 0.985
330 0.085 0.98
331 0.0851964 0.985
332 0.0853916 0.99
333 0.0855856 0.99
334 0.0857784 0.99
335 0.0859701 0.99
336 0.0861607 0.985
337 0.0863205 0.98
338 0.0864793 0.985
339 0.0866667 0.99
340 0.0868529 0.985
341 0.0870381 0.99
342 0.0872222 0.985
343 0.0873761 0.99
344 0.0875291 0.985
345 0.0876812 0.985
346 0.0878035 0.98
347 0.0879251 0.975
348 0.0880747 0.97
349 0.0882235 0.97
350 0.0883714 0.97
351 0.08849 0.975
352 0.088608 0.97
353 0.0887252 0.97
354 0.0888418 0.965
355 0.0889577 0.97
356 0.0890169 0.965
357 0.0890756 0.96
358 0.089162 0.965
359 0.0892479 0.97
360 0.0893056 0.975
361 0.0893629 0.97
362 0.0894199 0.975
363 0.0894215 0.97
364 0.0894231 0.975
365 0.0894521 0.98
366 0.0895082 0.975
367 0.0895913 0.98
368 0.0896739 0.975
369 0.0897561 0.97
370 0.0898108 0.965
371 0.0898652 0.96
372 0.0899462 0.955
373 0.0900268 0.96
374 0.090107 0.965
375 0.09016 0.97
376 0.0902128 0.975
377 0.0902918 0.98
378 0.0903968 0.975
379 0.0905013 0.97
380 0.0906053 0.965
381 0.0907349 0.96
382 0.0908639 0.96
383 0.0910444 0.955
384 0.091224 0.95
385 0.0913506 0.945
386 0.0914767 0.95
387 0.0916279 0.955
388 0.0917784 0.955
389 0.091928 0.955
390 0.0920513 0.96
391 0.0921995 0.955
392 0.0923724 0.96
393 0.0925445 0.955
394 0.0926904 0.95
395 0.0928608 0.955
396 0.0930303 0.96
397 0.093199 0.96
398 0.093392 0.965
399 0.093584 0.97
400 0.093775 0.975
401 0.0939651 0.975
402 0.0941791 0.97
403 0.0944169 0.975
404 0.0946287 0.98
405 0.0948395 0.975
406 0.0950739 0.97
407 0.0953071 0.965
408 0.0955392 0.96
409 0.0957702 0.955
410 0.0960244 0.95
411 0.0963017 0.955
412 0.0965777 0.96
413 0.0968765 0.965
414 0.0971739 0.97
415 0.097494 0.965
416 0.0978365 0.97
417 0.0981775 0.975
418 0.0984689 0.97
419 0.0987828 0.975
420 0.0990952 0.97
421 0.0994062 0.975
422 0.0997156 0.975
423 0.100024 0.97
424 0.100354 0.975
425 0.100635 0.98
426 0.100892 0.985
427 0.101148 0.98
428 0.101402 0.975
429 0.101655 0.97
430 0.10193 0.975
431 0.102204 0.98
432 0.102477 0.985
433 0.102725 0.99
434 0.102972 0.99
435 0.103241 0.995
436 0.103486 1
437 0.10373 1.005
438 0.10395 1.01
439 0.104146 1.015
440 0.104341 1.015
441 0.104535 1.02
442 0.104751 1.015
443 0.104966 1.015
444 0.10518 1.02
445 0.105416 1.025
446 0.10565 1.025
447 0.105884 1.03
448 0.106094 1.035
449 0.106303 1.04
450 0.106533 1.035
451 0.106763 1.035
452 0.106991 1.04
453 0.107219 1.045
454 0.107445 1.045
455 0.10767 1.04
456 0.107895 1.035
457 0.108118 1.035
458 0.108319 1.03
459 0.108519 1.03
460 0.108717 1.025
461 0.108915 1.02
462 0.109091 1.025
463 0.109244 1.03
464 0.109397 1.03
465 0.10957 1.035
466 0.109764 1.03
467 0.109979 1.035
468 0.110192 1.04
469 0.110384 1.035
470 0.110574 1.035
471 0.110764 1.04
472 0.110953 1.04
473 0.111163 1.035
474 0.11135 1.03
475 0.111537 1.025
476 0.111723 1.02
477 0.111908 1.02
478 0.112071 1.015
479 0.112234 1.01
480 0.112396 1.01
481 0.112557 1.005
482 0.112697 1.01
483 0.112836 1.015
484 0.112975 1.015
485 0.113113 1.015
486 0.113251 1.015
487 0.113429 1.01
488 0.113586 1.015
489 0.113742 1.02
490 0.113918 1.015
491 0.114114 1.02
492 0.114309 1.025
493 0.114483 1.03
494 0.114676 1.035
495 0.114909 1.03
496 0.115141 1.03
497 0.115352 1.035
498 0.115562 1.04
499 0.115772 1.045
500 0.11596 1.04
501 0.116128 1.035
502 0.116295 1.04
503 0.116461 1.035
504 0.116627 1.04
505 0.116772 1.045
506 0.116917 1.04
507 0.117061 1.04
508 0.117205 1.045
509 0.117367 1.04
510 0.117529 1.035
511 0.117691 1.04
512 0.117871 1.045
513 0.118051 1.04
514 0.118249 1.035
515 0.118447 1.035
516 0.118643 1.035
517 0.118839 1.035
518 0.119035 1.035
519 0.119229 1.035
520 0.119423 1.03
521 0.119616 1.035
522 0.119808 1.04
523 0.12 1.04
524 0.120191 1.035
525 0.1204 1.04
526 0.120589 1.035
527 0.120778 1.04
528 0.120966 1.045
529 0.121172 1.04
530 0.121396 1.045
531 0.121582 1.04
532 0.121767 1.045
533 0.121951 1.05
534 0.122135 1.05
535 0.122318 1.05
536 0.122481 1.055
537 0.122644 1.06
538 0.122807 1.055
539 0.12295 1.05
540 0.123111 1.055
541 0.123253 1.05
542 0.123376 1.055
543 0.123481 1.06
544 0.123585 1.06
545 0.12367 1.055
546 0.123755 1.06
547 0.123857 1.065
548 0.12396 1.07
549 0.12408 1.075
550 0.124182 1.08
551 0.124301 1.085
552 0.12442 1.09
553 0.124539 1.085
554 0.124657 1.085
555 0.124775 1.09
556 0.124856 1.085
557 0.124937 1.085
558 0.125 1.08
559 0.125081 1.075
560 0.125161 1.075
561 0.125258 1.07
562 0.125356 1.075
563 0.125435 1.08
564 0.12555 1.085
565 0.125681 1.08
566 0.125813 1.075
567 0.125961 1.08
568 0.126127 1.075
569 0.126292 1.08
570 0.126456 1.075
571 0.12662 1.075
572 0.126783 1.07
573 0.126928 1.075
574 0.127056 1.07
575 0.127183 1.07
576 0.127326 1.065
577 0.127487 1.07
578 0.127664 1.065
579 0.127841 1.065
580 0.128034 1.06
581 0.128262 1.055
582 0.128488 1.05
583 0.128714 1.05
584 0.128955 1.055
585 0.129214 1.05
586 0.129471 1.045
587 0.129693 1.04
588 0.129932 1.035
589 0.130187 1.04
590 0.130407 1.045
591 0.130609 1.04
592 0.130811 1.035
593 0.131012 1.04
594 0.131212 1.045
595 0.131412 1.04
596 0.131611 1.045
597 0.131776 1.05
598 0.131923 1.055
599 0.13207 1.055
600 0.132217 1.06
601 0.132363 1.06
602 0.132475 1.065
603 0.132587 1.07
604 0.132699 1.065
605 0.13281 1.06
606 0.132937 1.065
607 0.133064 1.06
608 0.133191 1.06
609 0.1333 1.055
610 0.133426 1.05
611 0.133552 1.055
612 0.13366 1.05
613 0.133785 1.045
614 0.133909 1.04
615 0.134049 1.045
616 0.134205 1.05
617 0.134376 1.045
618 0.134547 1.045
619 0.134717 1.045
620 0.134887 1.05
621 0.135056 1.045
622 0.135225 1.05
623 0.135409 1.045
624 0.135625 1.05
625 0.135856 1.055
626 0.136054 1.05
627 0.136252 1.045
628 0.136417 1.05
629 0.136566 1.045
630 0.136714 1.04
631 0.136846 1.035
632 0.136978 1.035
633 0.137125 1.03
634 0.137287 1.035
635 0.137433 1.04
636 0.137563 1.045
637 0.137692 1.045
638 0.137806 1.04
639 0.137919 1.045
640 0.138047 1.05
641 0.138159 1.045
642 0.138287 1.04
643 0.138414 1.035
644 0.138556 1.03
645 0.138698 1.03
646 0.138839 1.025
647 0.138995 1.03
648 0.139167 1.035
649 0.139322 1.04
650 0.139462 1.045
651 0.139616 1.05
652 0.139801 1.045
653 0.139954 1.04
654 0.140107 1.035
655 0.140244 1.03
656 0.140366 1.025
657 0.140472 1.02
658 0.140562 1.025
659 0.140637 1.02
660 0.140742 1.025
661 0.140847 1.02
662 0.140937 1.015
663 0.141026 1.015
664 0.141145 1.01
665 0.141263 1.015
666 0.141396 1.01
667 0.141529 1.005
668 0.141677 1
669 0.141839 1.005
670 0.142 1
671 0.142161 1
672 0.142351 0.995
673 0.142541 0.99
674 0.14273 0.985
675 0.142919 0.985
676 0.143077 0.98
677 0.143235 0.985
678 0.143378 0.99
679 0.143505 0.985
680 0.143618 0.99
681 0.14373 0.985
682 0.143842 0.985
683 0.143924 0.99
684 0.144006 0.995
685 0.144088 0.995
686 0.144184 1
687 0.144279 0.995
688 0.14436 1
689 0.144441 1.005
690 0.144536 1
691 0.144631 1
692 0.144725 1.005
693 0.14482 1
694 0.144899 1.005
695 0.144978 1.01
696 0.145057 1.005
697 0.145136 1
698 0.145215 0.995
699 0.145308 1
700 0.145386 1.005
701 0.145449 1.01
702 0.145513 1.005
703 0.145576 1.01
704 0.145653 1.005
705 0.14573 1
706 0.145807 1
707 0.14587 1.005
708 0.145932 1.005
709 0.145994 1
710 0.146028 1.005
711 0.146062 1.01
712 0.146096 1.015
713 0.146115 1.02
714 0.146134 1.02
715 0.146154 1.015
716 0.146187 1.01
717 0.14622 1.015
718 0.146281 1.01
719 0.146314 1.015
720 0.146361 1.02
721 0.146394 1.025
722 0.146427 1.025
723 0.146459 1.025
724 0.146492 1.025
725 0.146524 1.025
726 0.146556 1.025
727 0.146589 1.03
728 0.146621 1.035
729 0.146639 1.03
730 0.146658 1.03
731 0.146689 1.035
732 0.146721 1.03
733 0.146739 1.035
734 0.146757 1.04
735 0.146789 1.035
736 0.146821 1.04
737 0.146852 1.045
738 0.146883 1.05
739 0.146915 1.055
740 0.146946 1.06
741 0.146991 1.055
742 0.147035 1.05
743 0.147079 1.055
744 0.147124 1.06
745 0.147168 1.065
746 0.147225 1.06
747 0.147269 1.065
748 0.147313 1.07
749 0.147356 1.075
750 0.147387 1.08
751 0.147403 1.085
752 0.147434 1.09
753 0.147463 1.095
754 0.14748 1.1
755 0.147497 1.095
756 0.147513 1.095
757 0.147543 1.09
758 0.147546 1.095
759 0.147563 1.09
760 0.147579 1.095
761 0.147595 1.095
762 0.147638 1.1
763 0.14768 1.1
764 0.147709 1.095
765 0.147739 1.095
766 0.147781 1.09
767 0.147823 1.085
768 0.147865 1.08
769 0.147893 1.085
770 0.147922 1.08
771 0.147951 1.085
772 0.147992 1.09
773 0.148034 1.095
774 0.148075 1.1
775 0.148116 1.095
776 0.148157 1.09
777 0.148198 1.095
778 0.148239 1.1
779 0.148293 1.095
780 0.148333 1.09
781 0.148374 1.095
782 0.148414 1.095
783 0.148442 1.09
784 0.148469 1.085
785 0.14851 1.08
786 0.14855 1.075
787 0.14859 1.07
788 0.148629 1.075
789 0.148682 1.07
790 0.148734 1.065
791 0.148799 1.07
792 0.148864 1.065
793 0.148941 1.07
794 0.149018 1.075
795 0.149107 1.08
796 0.149196 1.08
797 0.149272 1.075
798 0.149348 1.07
799 0.149424 1.065
800 0.1495 1.07
801 0.149576 1.065
802 0.149651 1.07
803 0.149726 1.065
804 0.149801 1.065
805 0.149863 1.06
806 0.149913 1.065
807 0.149963 1.06
808 0.149988 1.065
809 0.150025 1.07
810 0.150049 1.075
811 0.150074 1.075
812 0.150099 1.08
813 0.150123 1.085
814 0.150123 1.09
815 0.150123 1.085
816 0.150135 1.08
817 0.150159 1.075
818 0.150171 1.08
819 0.150183 1.08
820 0.150195 1.085
821 0.150195 1.09
822 0.150195 1.095
823 0.150194 1.09
824 0.150206 1.095
825 0.150206 1.1
826 0.150218 1.095
827 0.15023 1.1
828 0.150242 1.1
829 0.150253 1.1
830 0.150253 1.105
831 0.150265 1.1
832 0.150276 1.105
833 0.150288 1.11
834 0.1503 1.115
835 0.150311 1.12
836 0.150323 1.125
837 0.150335 1.13
838 0.150346 1.135
839 0.150358 1.13
840 0.150381 1.125
841 0.150404 1.125
842 0.150416 1.12
843 0.150427 1.115
844 0.150438 1.12
845 0.150473 1.115
846 0.150496 1.12
847 0.150519 1.115
848 0.150542 1.115
849 0.150565 1.115
850 0.150588 1.12
851 0.150599 1.125
852 0.150622 1.12
853 0.150645 1.115
854 0.150679 1.11
855 0.150702 1.115
856 0.150724 1.11
857 0.150758 1.115
858 0.150781 1.12
859 0.15078 1.125
860 0.150779 1.12
861 0.150778 1.125
862 0.150777 1.12
863 0.150776 1.12
864 0.150787 1.115
865 0.150786 1.12
866 0.150774 1.115
867 0.150761 1.115
868 0.150749 1.11
869 0.150736 1.115
870 0.150724 1.11
871 0.150689 1.115
872 0.150642 1.12
873 0.150596 1.125
874 0.150549 1.125
875 0.150503 1.125
876 0.150457 1.12
877 0.15041 1.115
878 0.150353 1.11
879 0.150296 1.115
880 0.15025 1.11
881 0.150204 1.115
882 0.150159 1.11
883 0.150113 1.115
884 0.150045 1.12
885 0.149989 1.125
886 0.149932 1.12
887 0.149865 1.125
888 0.149797 1.13
889 0.14973 1.135
890 0.149652 1.14
891 0.149585 1.145
892 0.149518 1.145
893 0.14944 1.15
894 0.149362 1.155
895 0.149285 1.155
896 0.149208 1.15
897 0.14913 1.145
898 0.149053 1.14
899 0.148988 1.135
900 0.148933 1.13
901 0.148879 1.13
902 0.148825 1.13
903 0.14876 1.125
904 0.148706 1.13
905 0.148652 1.13
906 0.148609 1.135
907 0.148567 1.13
908 0.148513 1.135
909 0.148471 1.13
910 0.148418 1.135
911 0.148342 1.13
912 0.148257 1.135
913 0.148171 1.135
914 0.148085 1.135
915 0.148 1.13
916 0.147926 1.125
917 0.147852 1.13
918 0.147767 1.135
919 0.147682 1.135
920 0.147609 1.13
921 0.147557 1.125
922 0.147505 1.125
923 0.147454 1.13
924 0.147403 1.13
925 0.147362 1.125
926 0.147333 1.12
927 0.147303 1.125
928 0.147274 1.125
929 0.147244 1.12
930 0.147237 1.125
931 0.147229 1.13
932 0.147221 1.135
933 0.147203 1.14
934 0.147195 1.135
935 0.147166 1.13
936 0.147126 1.125
937 0.147097 1.13
938 0.147079 1.125
939 0.147061 1.125
940 0.147064 1.12
941 0.147067 1.12
942 0.14707 1.115
943 0.147052 1.12
944 0.147023 1.125
945 0.146995 1.125
946 0.146956 1.12
947 0.146927 1.125
948 0.146899 1.12
949 0.14687 1.115
950 0.146842 1.115
951 0.146814 1.12
952 0.146796 1.115
953 0.146768 1.12
954 0.146761 1.115
955 0.146764 1.11
956 0.146778 1.105
957 0.146792 1.11
958 0.146795 1.115
959 0.146799 1.115
960 0.146802 1.12
961 0.146805 1.125
962 0.146809 1.12
963 0.146812 1.12
964 0.146815 1.115
965 0.146819 1.12
966 0.146812 1.125
967 0.146825 1.13
968 0.146849 1.135
969 0.146873 1.135
970 0.146907 1.14
971 0.146941 1.14
972 0.146996 1.135
973 0.147061 1.13
974 0.147115 1.125
975 0.14719 1.12
976 0.147264 1.125
977 0.147349 1.12
978 0.147423 1.115
979 0.147497 1.12
980 0.147582 1.115
981 0.147645 1.12
982 0.147709 1.125
983 0.147772 1.125
984 0.147835 1.12
985 0.147888 1.125
986 0.147961 1.12
987 0.148034 1.115
988 0.148097 1.12
989 0.14816 1.12
990 0.148222 1.12
991 0.148295 1.115
992 0.148367 1.115
993 0.148439 1.11
994 0.148511 1.11
995 0.148583 1.115
996 0.148645 1.12
997 0.148716 1.125
998 0.148788 1.12
999 0.148859 1.115
1000 0.14893 1.11
1001 0.149001 1.11
1002 0.149072 1.105
1003 0.149143 1.105
1004 0.149223 1.11
1005 0.149303 1.115
1006 0.149384 1.12
1007 0.149464 1.115
1008 0.149544 1.115
1009 0.149623 1.12
