MC-cycles <epsilon> <|m|>
267 -0.603521 1.235
268 -0.601455 1.235
269 -0.599405 1.235
270 -0.597333 1.23
271 -0.595351 1.235
272 -0.593382 1.23
273 -0.591429 1.225
274 -0.589489 1.225
275 -0.587564 1.22
276 -0.585725 1.225
277 -0.583899 1.225
278 -0.582122 1.22
279 -0.580358 1.215
280 -0.578643 1.22
281 -0.57694 1.215
282 -0.575213 1.21
283 -0.573463 1.215
284 -0.571725 1.215
285 -0.57 1.21
286 -0.568287 1.205
287 -0.566585 1.2
288 -0.564896 1.195
289 -0.563253 1.19
290 -0.561621 1.185
291 -0.56 1.19
292 -0.55839 1.185
293 -0.556792 1.185
294 -0.555204 1.18
295 -0.553627 1.185
296 -0.552061 1.19
297 -0.550539 1.195
298 -0.548993 1.2
299 -0.547425 1.195
300 -0.545833 1.19
301 -0.544219 1.185
302 -0.542649 1.18
303 -0.541089 1.175
304 -0.539507 1.17
305 -0.537934 1.17
306 -0.536373 1.17
307 -0.534821 1.165
308 -0.533247 1.17
309 -0.53165 1.165
310 -0.530065 1.16
311 -0.528489 1.155
312 -0.526923 1.15
313 -0.525399 1.145
314 -0.523822 1.14
315 -0.522254 1.145
316 -0.520696 1.145
317 -0.519148 1.14
318 -0.517579 1.145
319 -0.515987 1.14
320 -0.514375 1.145
321 -0.512773 1.14
322 -0.51118 1.14
323 -0.509598 1.135
324 -0.508056 1.14
325 -0.506523 1.135
326 -0.504939 1.13
327 -0.503394 1.125
328 -0.501799 1.13
329 -0.500274 1.135
330 -0.498758 1.135
331 -0.497221 1.14
332 -0.495693 1.14
333 -0.494144 1.135
334 -0.492575 1.13
335 -0.490985 1.135
336 -0.489375 1.13
337 -0.487774 1.13
338 -0.486183 1.125
339 -0.484602 1.13
340 -0.483 1.125
341 -0.481378 1.12
342 -0.479737 1.115
343 -0.478076 1.11
344 -0.476424 1.115
345 -0.474725 1.11
346 -0.473006 1.105
347 -0.471297 1.11
348 -0.469598 1.105
349 -0.467908 1.11
350 -0.466229 1.115
351 -0.464558 1.11
352 -0.462898 1.105
353 -0.461218 1.1
354 -0.459492 1.105
355 -0.457775 1.11
356 -0.456067 1.105
357 -0.45437 1.1
358 -0.452682 1.1
359 -0.451003 1.095
360 -0.449333 1.1
361 -0.447701 1.105
362 -0.446077 1.1
363 -0.444435 1.105
364 -0.442802 1.1
365 -0.441178 1.095
366 -0.439536 1.09
367 -0.437929 1.085
368 -0.436332 1.085
369 -0.434797 1.08
370 -0.433297 1.085
371 -0.431806 1.09
372 -0.430323 1.09
373 -0.428794 1.085
374 -0.427273 1.085
375 -0.425733 1.08
376 -0.424176 1.075
377 -0.422626 1.07
378 -0.421058 1.075
379 -0.419499 1.07
380 -0.417947 1.07
381 -0.416404 1.07
382 -0.414869 1.07
383 -0.413316 1.065
384 -0.411745 1.06
385 -0.410182 1.055
386 -0.408627 1.06
387 -0.407054 1.055
388 -0.40549 1.055
389 -0.403907 1.05
390 -0.402282 1.045
391 -0.400665 1.05
392 -0.399056 1.045
393 -0.397455 1.045
394 -0.395838 1.04
395 -0.394253 1.035
396 -0.392677 1.04
397 -0.391108 1.04
398 -0.389523 1.045
399 -0.38792 1.05
400 -0.386325 1.055
401 -0.384713 1.05
402 -0.383109 1.045
403 -0.381538 1.04
404 -0.379975 1.04
405 -0.378395 1.045
406 -0.376823 1.05
407 -0.375258 1.05
408 -0.373676 1.045
409 -0.372103 1.05
410 -0.370561 1.055
411 -0.369027 1.06
412 -0.367524 1.065
413 -0.366029 1.06
414 -0.364541 1.06
415 -0.36306 1.06
416 -0.361587 1.06
417 -0.36012 1.055
418 -0.35866 1.055
419 -0.357184 1.06
420 -0.355714 1.055
421 -0.354252 1.055
422 -0.352796 1.06
423 -0.351348 1.06
424 -0.349906 1.065
425 -0.348471 1.065
426 -0.347019 1.06
427 -0.345574 1.06
428 -0.344136 1.055
429 -0.342704 1.05
430 -0.341302 1.055
431 -0.339907 1.055
432 -0.338519 1.05
433 -0.337136 1.045
434 -0.335737 1.04
435 -0.334322 1.035
436 -0.332913 1.035
437 -0.33151 1.04
438 -0.330114 1.035
439 -0.328724 1.04
440 -0.327341 1.035
441 -0.326009 1.04
442 -0.324683 1.04
443 -0.323341 1.035
444 -0.322027 1.03
445 -0.320742 1.035
446 -0.319462 1.04
447 -0.318166 1.035
448 -0.316875 1.03
449 -0.315612 1.035
450 -0.314356 1.04
451 -0.313104 1.035
452 -0.311881 1.03
453 -0.31064 1.025
454 -0.309405 1.02
455 -0.308176 1.025
456 -0.306996 1.02
