MC-cycles <epsilon> <|m|>
280 0.133643 1
281 0.133915 1.005
282 0.13422 1.01
283 0.134523 1.015
284 0.134789 1.01
285 0.135053 1.005
286 0.13535 1.01
287 0.135645 1.01
288 0.135903 1.015
289 0.136194 1.01
290 0.136483 1.01
291 0.13677 1.015
292 0.137055 1.015
293 0.137338 1.02
294 0.137585 1.025
295 0.137831 1.025
296 0.138074 1.025
297 0.138316 1.025
298 0.138591 1.02
299 0.138829 1.015
300 0.139033 1.02
301 0.139236 1.015
302 0.139437 1.015
303 0.139637 1.015
304 0.139836 1.02
305 0.140033 1.025
306 0.140261 1.02
307 0.140456 1.015
308 0.140682 1.02
309 0.140939 1.025
310 0.141161 1.03
311 0.141318 1.025
312 0.14141 1.02
313 0.141502 1.015
314 0.141592 1.02
315 0.141683 1.015
316 0.141804 1.01
317 0.141956 1.015
318 0.142075 1.02
319 0.142163 1.025
320 0.14225 1.03
321 0.142368 1.025
322 0.142453 1.02
323 0.14257 1.015
324 0.142685 1.02
325 0.1428 1.025
326 0.142914 1.025
327 0.143028 1.025
328 0.14311 1.03
329 0.143191 1.035
330 0.143303 1.03
331 0.143384 1.035
332 0.143434 1.03
333 0.143483 1.025
334 0.143563 1.02
335 0.143642 1.025
336 0.14372 1.025
337 0.143798 1.025
338 0.143935 1.03
339 0.144041 1.035
340 0.144147 1.04
341 0.144252 1.045
342 0.144357 1.04
343 0.14449 1.035
344 0.144622 1.03
345 0.144725 1.035
346 0.144827 1.03
347 0.144928 1.025
348 0.145086 1.03
349 0.145186 1.035
350 0.145286 1.04
351 0.145385 1.04
352 0.145483 1.04
353 0.145581 1.035
354 0.145678 1.03
355 0.145775 1.025
356 0.145871 1.025
357 0.145966 1.025
358 0.146061 1.03
359 0.146128 1.025
360 0.146194 1.02
361 0.14626 1.02
362 0.146271 1.015
363 0.146309 1.01
364 0.146346 1.015
365 0.146356 1.02
366 0.146366 1.025
367 0.146376 1.03
368 0.146413 1.035
369 0.146423 1.03
370 0.146432 1.035
371 0.146469 1.04
372 0.146505 1.035
373 0.146542 1.03
374 0.146578 1.03
375 0.146667 1.035
376 0.146755 1.035
377 0.146844 1.04
378 0.146931 1.04
379 0.146992 1.045
380 0.147105 1.05
381 0.147218 1.05
382 0.147356 1.055
383 0.147546 1.06
384 0.147682 1.055
